id,user,name,queue,state,finalStatus,progress,trackingUI,trackingUrl,diagnostics,clusterId,applicationType,applicationTags,priority,startedTime,finishedTime,elapsedTime,amContainerLogs,amHostHttpAddress,allocatedMB,allocatedVCores,runningContainers,memorySeconds,vcoreSeconds,queueUsagePercentage,clusterUsagePercentage,preemptedResourceMB,preemptedResourceVCores,numNonAMContainerPreempted,numAMContainerPreempted,logAggregationStatus,unmanagedApplication,amNodeLabelExpression
application_1508997803791_0006,ambari-qa,word count,default,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1508997803791_0006/,null,1509436254805,MAPREDUCE,,0,1508998361004,1508998389890,28886,http://hdp204.cancer.com:8042/node/containerlogs/container_1508997803791_0006_01_000001/ambari-qa,hdp204.cancer.com:8042,-1,-1,-1,68053,46,0.0,0.0,0,0,0,0,NOT_START,False,
application_1508997803791_0005,ambari-qa,DistributedShell,default,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1508997803791_0005/,null,1509436254805,YARN,,0,1508998302153,1508998309558,7405,http://hdp203.cancer.com:8042/node/containerlogs/container_1508997803791_0005_01_000001/ambari-qa,hdp203.cancer.com:8042,-1,-1,-1,7935,7,0.0,0.0,0,0,0,0,NOT_START,False,
application_1508997803791_0004,ambari-qa,OrderedWordCount,default,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1508997803791_0004/,null,1509436254805,TEZ,,0,1508998076656,1508998105956,29300,http://hdp204.cancer.com:8042/node/containerlogs/container_1508997803791_0004_01_000001/ambari-qa,hdp204.cancer.com:8042,-1,-1,-1,47065,27,0.0,0.0,0,0,0,0,NOT_START,False,
application_1508997803791_0003,ambari-qa,PigLatin:pigSmoke.sh,default,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1508997803791_0003/,null,1509436254805,TEZ,,0,1508998004353,1508998087292,82939,http://hdp203.cancer.com:8042/node/containerlogs/container_1508997803791_0003_01_000001/ambari-qa,hdp203.cancer.com:8042,-1,-1,-1,53580,32,0.0,0.0,0,0,0,0,NOT_START,False,
application_1508997803791_0002,ambari-qa,SequenceFilesFromDirectory,default,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1508997803791_0002/,null,1509436254805,MAPREDUCE,,0,1508997993331,1508998060708,67377,http://hdp204.cancer.com:8042/node/containerlogs/container_1508997803791_0002_01_000001/ambari-qa,hdp204.cancer.com:8042,-1,-1,-1,138928,98,0.0,0.0,0,0,0,0,NOT_START,False,
application_1508997803791_0001,ambari-qa,PigLatin:pigSmoke.sh,default,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1508997803791_0001/,null,1509436254805,TEZ,,0,1508997937225,1508997996652,59427,http://hdp203.cancer.com:8042/node/containerlogs/container_1508997803791_0001_01_000001/ambari-qa,hdp203.cancer.com:8042,-1,-1,-1,145642,82,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509434950632_0001,root,QuasiMonteCarlo,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509434950632_0001/,null,1509436254805,MAPREDUCE,,0,1509435581014,1509435807685,226671,http://hdp204.cancer.com:8042/node/containerlogs/container_e04_1509434950632_0001_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,1956686,761,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509434950632_0002,root,QuasiMonteCarlo,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509434950632_0002/,null,1509436254805,MAPREDUCE,,0,1509435866351,1509435996159,129808,http://hdp203.cancer.com:8042/node/containerlogs/container_e04_1509434950632_0002_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,878995,462,0.0,0.0,0,0,0,0,NOT_START,False,
application_1508997803791_0007,hdfs,word count,default,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1508997803791_0007/,null,1509436254805,MAPREDUCE,,0,1509085468447,1509085489344,20897,http://hdp204.cancer.com:8042/node/containerlogs/container_1508997803791_0007_01_000001/hdfs,hdp204.cancer.com:8042,-1,-1,-1,41183,29,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509085892079_0022,root,org.apache.spark.examples.ml.KMeansExample,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0022/,null,1509436254805,SPARK,,0,1509096082528,1509096109860,27332,http://hdp204.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0022_01_000001/root,hdp204.cancer.com:8042,-1,-1,-1,125160,60,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509085892079_0020,root,org.apache.spark.examples.LogQuery,hive,FINISHED,FAILED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0020/,null,1509436254805,SPARK,,0,1509095984811,1509096015222,30411,http://hdp203.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0020_02_000001/root,hdp203.cancer.com:8042,-1,-1,-1,128801,61,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509085892079_0019,root,org.apache.spark.examples.LogQuery,hive,FINISHED,FAILED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0019/,null,1509436254805,SPARK,,0,1509095930310,1509095971849,41539,http://hdp204.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0019_02_000001/root,hdp204.cancer.com:8042,-1,-1,-1,157376,74,0.0,0.0,0,0,0,0,NOT_START,False,
application_1509085892079_0016,root,org.apache.spark.examples.SparkPi,hive,FINISHED,SUCCEEDED,100.0,History,http://hdp203.cancer.com:8088/proxy/application_1509085892079_0016/,null,1509436254805,SPARK,,0,1509095534540,1509095555459,20919,http://hdp203.cancer.com:8042/node/containerlogs/container_e01_1509085892079_0016_01_000001/root,hdp203.cancer.com:8042,-1,-1,-1,81126,37,0.0,0.0,0,0,0,0,NOT_START,False,
